videoName,videoDate,videoType,thumbnailImage,videoId,videoChannel,isShow,displayDate
Twitch,2015-04-28,twitch,vThumbnail_twitch.jpg,,nl_kripp,Y,4/28/2015
ASUS ROG Play It Cool Gaming Live Stream Marathon Teaser,2015-04-24,youtube,vThumbnail_01.jpg,pHVsbQ93ZCc,https://www.youtube.com/watch?v=pHVsbQ93ZCc,Y,4/27/2015
72-hour non-stop gameplay stress test of ASUS ROG gaming laptops,2015-04-23,youtube,vThumbnail_02.jpg,3HhEGT_Yjk4,https://www.youtube.com/watch?v=3HhEGT_Yjk4,Y,3/27/2015
