videoName,videoDate,videoType,thumbnailImage,videoId,videoChannel,isShow,displayDate
ASUS ROG Play It Cool Gaming Live Stream Marathon Teaser,2015/4/24,youtube,vThumbnail_01.jpg,pHVsbQ93ZCc,,Y,4/27/2015
72-hour non-stop gameplay stress test of ASUS ROG gaming laptops,2015/4/23,youtube,vThumbnail_02.jpg,3HhEGT_Yjk4,,Y,3/27/2015
